NVDSR,USDI - FISH & WILDLIFE SERVICE (Desert)
NVFLR,USDI - FISH & WILDLIFE SERVICE (Fallon)
NVMVR,USDI - FISH & WILDLIFE SERVICE (Moapa Valley)
NVPRR,USDI - FISH & WILDLIFE SERVICE (Pahranagat)
NVRLR,USDI - FISH & WILDLIFE SERVICE (Ruby Lake)
NVSWR,USDI - FISH & WILDLIFE SERVICE (Stillwater)
IDCMP,USDI - NATIONAL PARK SERVICE (Craters of the Moon NM)
IDCRP,USDI - NATIONAL PARK SERVICE (City of Rocks National Reserve)
IDHFP,USDI - NATIONAL PARK SERVICE (Hagerman Fossil Beds NM)
UTARP,USDI - NATIONAL PARK SERVICE (Arches NP)
UTBRP,USDI - NATIONAL PARK SERVICE (Bryce Canyon NP)
UTCAP,USDI - NATIONAL PARK SERVICE (Canyonlands NP)
UTCBP,USDI - NATIONAL PARK SERVICE (Cedar Breaks)
UTCRP,USDI - NATIONAL PARK SERVICE (Capitol Reef NP)
UTDSP,USDI - NATIONAL PARK SERVICE (Dinosaur NM)
UTGLP,USDI - NATIONAL PARK SERVICE (Glen Canyon NRA)
UTGSP,USDI - NATIONAL PARK SERVICE (Golden Spike NHS)
UTHOP,USDI - NATIONAL PARK SERVICE (Hovenweep NM)
UTNBP,USDI - NATIONAL PARK SERVICE (Natural Bridges NM)
UTRAP,USDI - NATIONAL PARK SERVICE (Rainbow Bridge NM)
UTTIP,USDI - NATIONAL PARK SERVICE (Timpanogos Cave NM)
UTZIP,USDI - NATIONAL PARK SERVICE (Zion NP)
WYGTP,USDI - NATIONAL PARK SERVICE (Grand Teton NP)
NVGBP,USDI - NATIONAL PARK SERVICE (Great Basin NP)
NVLAP,USDI - NATIONAL PARK SERVICE (Lake Mead NRA)
ILMPF,USDA - FOREST SERVICE (Midewin National Tall Grass Prairie)
ILSHF,USDA - FOREST SERVICE (Shawnee NF)
INHOF,USDA - FOREST SERVICE (Hoosier NF)
MIHIF,USDA - FOREST SERVICE (Hiawatha NF)
MIHMF,USDA - FOREST SERVICE (Huron-Manistee NF)
MIOTF,USDA - FOREST SERVICE (Ottawa NF)
MNCPF,USDA - FOREST SERVICE (Chippewa NF)
MNSUF,USDA - FOREST SERVICE (Superior NF)
MOMTF,USDA - FOREST SERVICE (Mark Twain NF)
NHWMF,USDA - FOREST SERVICE (White Mountain NF)
OHWAF,USDA - FOREST SERVICE (Wayne NF)
PAALF,USDA - FOREST SERVICE (Allegheny NF)
VTGMF,USDA - FOREST SERVICE (Green Mountian NF)
WICNF,USDA - FOREST SERVICE (Chequamegon-Nicolet NF)
WVMOF,USDA - FOREST SERVICE (Monongahela NF)
IASFA,USDI - BUREAU OF INDIAN AFFAIRS (Sac & Fox Agency)
MEPAA,USDI - BUREAU OF INDIAN AFFAIRS (Passamaquoddy Agency)
MEPEA,USDI - BUREAU OF INDIAN AFFAIRS (Penobscot Agency)
MIMIA,USDI - BUREAU OF INDIAN AFFAIRS (Michigan Agency)
MNMNA,USDI - BUREAU OF INDIAN AFFAIRS (Minnesota Agency)
MNRLA,USDI - BUREAU OF INDIAN AFFAIRS (Red Lake Agency)
WIGLA,USDI - BUREAU OF INDIAN AFFAIRS (Grt Lakes Agency)
WIMEA,USDI - BUREAU OF INDIAN AFFAIRS (Menominee Agency)
IADAR,USDI - FISH & WILDLIFE SERVICE (Driftless)
IADSR,USDI - FISH & WILDLIFE SERVICE (DeSoto)
IANSR,USDI - FISH & WILDLIFE SERVICE (Neal Smith)
IAPLR,USDI - FISH & WILDLIFE SERVICE (Port Louisa)
IAUSR,USDI - FISH & WILDLIFE SERVICE (Union Slough)
ILCOR,USDI - FISH & WILDLIFE SERVICE (Crab Orchard)
